HOSTNAME,INSTALLTYPE
HPDQ-PALPWWW01,STATE_SERVER
HPDQ-PALPWWW02,STATE_SERVER
HPDQ-PALUTIL01,REMOTE_CLIENT
HPDQ-PALUTIL02,REMOTE_CLIENT
US1I-PALPWWW01,STATE_SERVER
US1I-PALPWWW02,STATE_SERVER
US1I-PALPWWW03,STATE_SERVER
US1I-PALPWWW04,STATE_SERVER
US1I-PALPWWW05,STATE_SERVER
US1I-PALUTIL01A,REMOTE_CLIENT
US1I-PALUTIL02B,REMOTE_CLIENT
US1I-PALUTIL03A,REMOTE_CLIENT
US1I-PALUTIL04B,REMOTE_CLIENT
US1S-PALPWWW01,STATE_SERVER
US1S-PALPWWW02,STATE_SERVER
US1S-PALPWWW03,STATE_SERVER
US1S-PALPWWW04,STATE_SERVER
US1S-PALPWWW05,STATE_SERVER
US1S-PALPAWW01,STATE_SERVER
US1S-PALPAWW02,STATE_SERVER
US1S-PALPAWW03,STATE_SERVER
US1S-PALPAWW04,STATE_SERVER
US1S-PALUTIL01A,REMOTE_CLIENT
US1S-PALUTIL02B,REMOTE_CLIENT
US1S-PALUTIL03A,REMOTE_CLIENT
US1S-PALUTIL04B,REMOTE_CLIENT
US1P-PALPWWW01,STATE_SERVER
US1P-PALPWWW02,STATE_SERVER
US1P-PALPWWW03,STATE_SERVER
US1P-PALPWWW04,STATE_SERVER
US1P-PALPWWW05,STATE_SERVER
US1P-PALPAWW01,STATE_SERVER
US1P-PALPAWW02,STATE_SERVER
US1P-PALPAWW03,STATE_SERVER
US1P-PALPAWW04,STATE_SERVER
US1P-PALUTIL01A,REMOTE_CLIENT
US1P-PALUTIL02B,REMOTE_CLIENT
US1P-PALUTIL03A,REMOTE_CLIENT
US1P-PALUTIL03B,REMOTE_CLIENT
US2P-PALPWWW01,STATE_SERVER
US2P-PALPWWW02,STATE_SERVER
US2P-PALPWWW03,STATE_SERVER
US2P-PALPWWW04,STATE_SERVER
US2P-PALPWWW05,STATE_SERVER
US2P-PALPAWW01,STATE_SERVER
US2P-PALPAWW02,STATE_SERVER
US2P-PALPAWW03,STATE_SERVER
US2P-PALPAWW04,STATE_SERVER
US2P-PALUTIL01A,REMOTE_CLIENT
US2P-PALUTIL02B,REMOTE_CLIENT
US2P-PALUTIL03A,REMOTE_CLIENT
US2P-PALUTIL04B,REMOTE_CLIENT
UK2P-PALPWWW01,STATE_SERVER
UK2P-PALPWWW02,STATE_SERVER
UK2P-PALPWWW03,STATE_SERVER
UK2P-PALPWWW04,STATE_SERVER
UK2P-PALPWWW05,STATE_SERVER
UK2P-PALPWWW06,STATE_SERVER
STCP-PALPWWW01,STATE_SERVER
STCP-PALPWWW02,STATE_SERVER
STCP-PALPWWW03,STATE_SERVER
STCP-PALPWWW04,STATE_SERVER
STCP-PALPWWW05,STATE_SERVER
STCP-PALPWWW06,STATE_SERVER
DTCP-PALPWWW01,STATE_SERVER
DTCP-PALPWWW02,STATE_SERVER
DTCP-PALPWWW03,STATE_SERVER
DTCP-PALPWWW04,STATE_SERVER
DTCP-PALPWWW05,STATE_SERVER
DTCP-PALPWWW06,STATE_SERVER
